,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
User: FBIA,,,,,,,,,,,,,,,,
Path: C:\Users\EF\Desktop\FBIA\Data\,,,,,,,,,,,,,,,,
Test ID: 291,,,,,,,,,,,,,,,,
Test Name: 540,,,,,,,,,,,,,,,,
Date: 15/06/2023,,,,,,,,,,,,,,,,
Time: 01:04:22 p.m.,,,,,,,,,,,,,,,,
Absorbance,,,Absorbance values are displayed as OD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Raw Data (540),,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,"0,062","0,55","0,058","0,54","0,055","0,455","0,052","0,645","0,055","0,638","0,054","0,572",blanco buffer,blanco amilasa,,
B,"1,028","0,99","0,986","0,974","0,85","0,891","1,099","1,423","1,317","1,326","1,373","1,229",1,,,
C,"1,19","1,146","1,115","1,068","1,08","1,05","1,821","1,809","1,577","1,415","1,637","1,574",2,,,
D,"0,839","0,77","0,759","0,75","0,708","0,692","1,08","1,034","0,974","0,989","1,064","1,014",3,,,
E,"1,142","1,187","1,129","1,057","1,207","1,198","1,804","1,865","1,768","1,742","1,703","1,702",4,,,
F,"1,198","1,283","1,315","1,292","1,573","1,516","2,009","2,181","2,302","1,948","1,689","1,628",5,,,
G,,,,,,,,,,,,,,,AMILASA,
H,,,,,,,,,,,,,,,PENDIENTE,"0,005"
,4,4,20,20,25,25,30,30,37,37,45,45,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,individuo,temperatura,blanco,1,replica,promedio,resto blanco,ug de producto ,ug de prot/ul,mg de prot,Actividad especifica ug de glucosa x min-1  x mg de proteina-1 ,,,,,
,1,4,"0,55","1,028","0,99","1,009","0,459","91,8","0,55645161","0,00278225805","2199,652185",,,,,
,2,4,"0,55","1,19","1,146","1,168","0,618","123,6","0,54032258","0,0027016129","3050,029854",,temp,promedio,,
,3,4,"0,55","0,839","0,77","0,8045","0,2545","50,9","1,3360215","0,0066801075","507,9758572",,4,"2105,822166",,
,4,4,"0,55","1,142","1,187","1,1645","0,6145","122,9","0,55645161","0,00278225805","2944,850257",,20,"1985,680869",,
,5,4,"0,55","1,198","1,283","1,2405","0,6905","138,1","1,00806451","0,00504032255","1826,602678",,25,"2391,012539",,
,1,20,"0,54","0,986","0,974","0,98","0,44",88,"0,55645161","0,00278225805","2108,599045",,30,"3816,969653",,
,2,20,"0,54","1,115","1,068","1,0915","0,5515","110,3","0,54032258","0,0027016129","2721,830849",,37,"3496,443801",,
,3,20,"0,54","0,759","0,75","0,7545","0,2145","42,9","1,3360215","0,0066801075","428,1368226",,45,"3563,631847",,
,4,20,"0,54","1,129","1,057","1,093","0,553","110,6","0,55645161","0,00278225805","2650,125618",,,,,
,5,20,"0,54","1,315","1,292","1,3035","0,7635","152,7","1,00806451","0,00504032255","2019,712012",,,,,
,1,25,"0,455","0,85","0,891","0,8705","0,4155","83,1","0,55645161","0,00278225805","1991,188416",,,,,
,2,25,"0,455","1,08","1,05","1,065","0,61",122,"0,54032258","0,0027016129","3010,547267",,,,,
,3,25,"0,455","0,708","0,692","0,7","0,245",49,"1,3360215","0,0066801075","489,0140865",,,,,
,4,25,"0,455","1,207","1,198","1,2025","0,7475","149,5","0,55645161","0,00278225805","3582,222241",,,,,
,5,25,"0,455","1,573","1,516","1,5445","1,0895","217,9","1,00806451","0,00504032255","2882,090684",,,,,
,1,30,"0,645","1,099","1,423","1,261","0,616","123,2","0,55645161","0,00278225805","2952,038663",,,,,
,2,30,"0,645","1,821","1,809","1,815","1,17",234,"0,54032258","0,0027016129","5774,328365",,,,,
,3,30,"0,645","1,08","1,034","1,057","0,412","82,4","1,3360215","0,0066801075","822,3420556",,,,,
,4,30,"0,645","1,804","1,865","1,8345","1,1895","237,9","0,55645161","0,00278225805","5700,405827",,,,,
,5,30,"0,645","2,009","2,181","2,095","1,45",290,"1,00806451","0,00504032255","3835,733357",,,,,
,1,37,"0,638","1,317","1,326","1,3215","0,6835","136,7","0,55645161","0,00278225805","3275,516925",,,,,
,2,37,"0,638","1,577","1,415","1,496","0,858","171,6","0,54032258","0,0027016129","4234,507468",,,,,
,3,37,"0,638","0,974","0,989","0,9815","0,3435","68,7","1,3360215","0,0066801075","685,617709",,,,,
,4,37,"0,638","1,768","1,742","1,755","1,117","223,4","0,55645161","0,00278225805","5352,966212",,,,,
,5,37,"0,638","2,302","1,948","2,125","1,487","297,4","1,00806451","0,00504032255","3933,610691",,,,,
,1,45,"0,572","1,373","1,229","1,301","0,729","145,8","0,55645161","0,00278225805","3493,565236",,,,,
,2,45,"0,572","1,637","1,574","1,6055","1,0335","206,7","0,54032258","0,0027016129","5100,656723",,,,,
,3,45,"0,572","1,064","1,014","1,039","0,467","93,4","1,3360215","0,0066801075","932,1207281",,,,,
,4,45,"0,572","1,703","1,702","1,7025","1,1305","226,1","0,55645161","0,00278225805","5417,661864",,,,,
,5,45,"0,572","1,689","1,628","1,6585","1,0865","217,3","1,00806451","0,00504032255","2874,154684",,,,,